id,location,sub_locality,property_type,estimated_price_per_sqft,demand_level,roi_category,infrastructure_score,zone_type,growth_potential,best_for,remarks
LKO-PROP-10028,Vibhuti Khand,Vibhuti Khand - Extension,3BHK Apartment,3685,High,High,10.0,Premium Commercial,Medium,Corporate Offices,
LKO-PROP-10029,Park Road,Park Road - Sector D,Retail Shop,3103,High,Medium,9.0,Commercial,Medium,Retail|Offices,
LKO-PROP-10030,Transport Nagar Extension,Transport Nagar Extension - Sector E,3BHK Apartment,2902,Medium,Medium,8.0,Industrial,Medium,Logistics,
LKO-PROP-10031,South City,South City - Sector C,Independent House,3141,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10032,MG Road,MG Road - Inner Circle,2BHK Apartment,2762,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10033,Raebareli Road,Raebareli Road - Sector E,Retail Shop,1695,Medium,Medium,6.0,Developing,Medium,Warehousing,Developing outskirts
LKO-PROP-10034,Munshi Pulia,Munshi Pulia - Sector F,Commercial Plot,3114,High,Medium,7.0,Developed,Medium,Local Shops,
LKO-PROP-10035,Sapru Marg,Sapru Marg - Sector J,3BHK Apartment,3284,Very High,Medium,10.0,Commercial Core,Medium,Corporate Offices,
LKO-PROP-10036,Vibhuti Khand,Vibhuti Khand - Phase 2,1BHK Apartment,2565,High,High,10.0,Premium Commercial,Medium,Corporate Offices,
LKO-PROP-10037,Vibhuti Khand Extension,Vibhuti Khand Extension - Extension,3BHK Apartment,2786,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10038,Tiwariganj Extension,Tiwariganj Extension - Sector D,1BHK Apartment,3209,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10039,South City,South City - Sector J,2BHK Apartment,3010,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10040,Takrohi,Takrohi - Sector H,2BHK Apartment,2542,Medium,Medium,6.0,Residential,Medium,Shops|Services,
LKO-PROP-10041,Indira Nagar,Indira Nagar - Phase 3,Commercial Plot,3678,High,Medium,8.0,Premium,Low-Medium,Shops|Clinics,Established residential zone
LKO-PROP-10042,Engineering College Road,Engineering College Road - Sector F,Residential Plot,2895,High,High,7.0,Growth,Medium,Student Business,
LKO-PROP-10043,Ansal API,Ansal API - Sector E,Residential Plot,3550,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10044,Rana Pratap Marg,Rana Pratap Marg - Sector H,Independent House,3805,High,Medium,10.0,Commercial,Medium,Offices,
LKO-PROP-10045,Amar Shaheed Path,Amar Shaheed Path - Sector F,Retail Shop,2811,Medium,Medium,6.0,Residential,Medium,Mixed Use,High-end infrastructure zone
LKO-PROP-10046,Airport Road Extension,Airport Road Extension - Sector D,Commercial Plot,2726,Medium,High,8.0,Growth,Medium,Investment,
LKO-PROP-10047,Naka Hindola,Naka Hindola - Sector E,3BHK Apartment,2625,High,Medium,7.0,Transport Hub,Medium,Hotels|Retail,
LKO-PROP-10048,Safedabad Extension,Safedabad Extension - Sector G,3BHK Apartment,3178,Medium,High,7.0,Growth,Medium,Expansion,
LKO-PROP-10049,Transport Nagar Extension,Transport Nagar Extension - Phase 3,Retail Shop,2721,Medium,Medium,8.0,Industrial,Medium,Logistics,
LKO-PROP-10050,DLF Garden City Area,DLF Garden City Area - Sector A,Commercial Plot,3899,Medium,High,8.0,Planned,Medium,Residential|Investment,
LKO-PROP-10051,Patrakarpuram Extension,Patrakarpuram Extension - Inner Circle,Independent House,3756,High,Medium,9.0,Commercial,Medium,Retail,
LKO-PROP-10052,Riverfront Extension Area,Riverfront Extension Area - Phase 1,Commercial Plot,3145,High,High,10.0,Premium,Medium,Tourism|Retail,
LKO-PROP-10053,Raebareli Road,Raebareli Road - Sector F,Retail Shop,1925,Medium,Medium,6.0,Developing,Medium,Warehousing,Developing outskirts
LKO-PROP-10054,Ansal Sushant,Ansal Sushant - Sector B,Commercial Plot,3259,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10055,Faizabad Road,Faizabad Road - Sector J,2BHK Apartment,1958,High,High,8.0,Growth,High,Mixed Business,Growth corridor affordable plots
LKO-PROP-10056,Saadatganj,Saadatganj - Main Road,2BHK Apartment,3564,Medium,Medium,6.0,Old City,Medium,Residential Shops,
LKO-PROP-10057,Vibhuti Khand,Vibhuti Khand - Sector H,Residential Plot,3028,High,High,10.0,Premium Commercial,Medium,Corporate Offices,
LKO-PROP-10058,Omaxe Residency,Omaxe Residency - Phase 1,Residential Plot,2497,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10059,Janeshwar Park Extension,Janeshwar Park Extension - Main Road,2BHK Apartment,2597,High,High,9.0,Premium,Medium,Commercial,
LKO-PROP-10060,Dubagga,Dubagga - Sector D,2BHK Apartment,3892,Medium,Medium,5.0,Developing,Medium,Small Business,
LKO-PROP-10061,Deva Road,Deva Road - Phase 5,2BHK Apartment,3758,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10062,Jankipuram Extension Phase 2,Jankipuram Extension Phase 2 - Sector I,Retail Shop,2644,Medium,High,6.0,Growth,Medium,Residential Growth,
LKO-PROP-10063,Tiwariganj,Tiwariganj - Sector C,Retail Shop,2688,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10064,Paper Mill Colony,Paper Mill Colony - Sector A,Commercial Plot,3100,Medium,Medium,7.0,Residential,Medium,Housing,
LKO-PROP-10065,Bijnor Road,Bijnor Road - Phase 1,1BHK Apartment,2408,Medium,High,7.0,Industrial Growth,High,Logistics|Airport Business,Airport side growth
LKO-PROP-10066,Chinhat,Chinhat - Sector B,Retail Shop,3399,High,High,7.0,Growth,High,Shops|Cloud Kitchen,
LKO-PROP-10067,Janeshwar Mishra Park Area,Janeshwar Mishra Park Area - Sector I,Residential Plot,2408,High,High,9.0,Premium,Medium,Commercial|Tourism,
LKO-PROP-10068,Vibhuti Khand,Vibhuti Khand - Sector G,1BHK Apartment,3655,High,High,10.0,Premium Commercial,Medium,Corporate Offices,
LKO-PROP-10069,Raebareli Road,Raebareli Road - Sector E,Independent House,2173,Medium,Medium,6.0,Developing,Medium,Warehousing,Developing outskirts
LKO-PROP-10070,Gaurabagh,Gaurabagh - Sector F,Retail Shop,3263,Low,Medium,5.0,Outer Growth,Medium,Low-cost Setup,
LKO-PROP-10071,Takrohi,Takrohi - Sector B,Warehouse space,3685,Medium,Medium,6.0,Residential,Medium,Shops|Services,
LKO-PROP-10072,Tedhi Pulia,Tedhi Pulia - Sector J,3BHK Apartment,3523,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10073,Transport Nagar,Transport Nagar - Phase 3,Commercial Plot,2875,Medium,High,7.0,Industrial,Medium,Logistics|Transport,
LKO-PROP-10074,Patrakarpuram Extension,Patrakarpuram Extension - Sector B,3BHK Apartment,3705,High,Medium,9.0,Commercial,Medium,Retail,
LKO-PROP-10075,Vrindavan Yojna,Vrindavan Yojna - Sector F,2BHK Apartment,2896,Medium,Medium,8.0,Planned,Medium,Residential|Offices,
LKO-PROP-10076,Vikas Nagar Extension,Vikas Nagar Extension - Sector D,Commercial Plot,2983,Medium,Medium,7.0,Developed,Medium,Residential,
LKO-PROP-10077,Gomti Nagar Extension,Gomti Nagar Extension - Phase 3,Residential Plot,3768,High,High,8.0,Growth,Medium,Investment|Startups,
LKO-PROP-10078,Bijnor Road,Bijnor Road - Phase 3,1BHK Apartment,2644,Medium,High,7.0,Industrial Growth,High,Logistics|Airport Business,Airport side growth
LKO-PROP-10079,Vineet Khand,Vineet Khand - Sector A,1BHK Apartment,3168,High,High,9.0,Premium,Medium,Luxury Residential,
LKO-PROP-10080,Gomti Nagar Extension,Gomti Nagar Extension - Phase 3,2BHK Apartment,2773,High,High,8.0,Growth,Medium,Investment|Startups,
LKO-PROP-10081,Raebareli Road Extension,Raebareli Road Extension - Phase 4,Warehouse space,3233,Medium,Medium,6.0,Developing,Medium,Warehousing,
LKO-PROP-10082,Sultanpur Road,Sultanpur Road - Phase 5,1BHK Apartment,2873,Medium,High,9.0,Growth,High,Warehousing|Expansion,Emerging area strong growth
LKO-PROP-10083,Eldeco Greens,Eldeco Greens - Extension,Warehouse space,2819,Medium,Medium,8.0,Planned,Medium,Residential Business,
LKO-PROP-10084,Nawabganj,Nawabganj - Phase 2,Commercial Plot,2882,Medium,Medium,6.0,Residential,Medium,Local Shops,
LKO-PROP-10085,Viraj Khand,Viraj Khand - Sector A,1BHK Apartment,3715,High,High,9.0,Premium,Medium,High-end Living,
LKO-PROP-10086,Chinhat,Chinhat - Phase 5,Residential Plot,3807,High,High,7.0,Growth,High,Shops|Cloud Kitchen,
LKO-PROP-10087,Aliganj,Aliganj - Sector G,Retail Shop,2585,High,Medium,7.0,Developed,Medium,Coaching|Retail,
LKO-PROP-10088,Transport Nagar Extension,Transport Nagar Extension - Sector G,Retail Shop,2908,Medium,Medium,8.0,Industrial,Medium,Logistics,
LKO-PROP-10089,Hardoi Bypass,Hardoi Bypass - Sector F,Warehouse space,3490,Low,High,6.0,Outer Growth,Medium,Warehousing,
LKO-PROP-10090,Tedhi Pulia Area,Tedhi Pulia Area - Sector H,2BHK Apartment,3349,High,Medium,7.0,Developed,Medium,Shops|Retail,
LKO-PROP-10091,Uattardhona Extension,Uattardhona Extension - Sector J,Independent House,2592,Medium,High,7.0,Growth,Medium,Residential,
LKO-PROP-10092,Amausi Extension,Amausi Extension - Main Road,Commercial Plot,3082,Medium,High,7.0,Growth,Medium,Industrial,
LKO-PROP-10093,Indiranagar Sector 20,Indiranagar Sector 20 - Sector C,2BHK Apartment,3824,High,Medium,8.0,Premium,Medium,Residential Business,
LKO-PROP-10094,Butler Colony,Butler Colony - Phase 4,Independent House,3468,Medium,Low,9.0,Premium,Medium,Luxury Residential,
LKO-PROP-10095,Safedabad Extension,Safedabad Extension - Sector E,Retail Shop,2933,Medium,High,7.0,Growth,Medium,Expansion,
LKO-PROP-10096,Mawaiyya,Mawaiyya - Phase 1,2BHK Apartment,2845,Medium,Medium,7.0,Developing,Medium,Residential Business,
LKO-PROP-10097,Amausi Extension,Amausi Extension - Phase 1,1BHK Apartment,2431,Medium,High,7.0,Growth,Medium,Industrial,
LKO-PROP-10098,Daliganj Extension,Daliganj Extension - Sector B,Retail Shop,3620,High,Medium,7.0,Central,Medium,Retail|Offices,
LKO-PROP-10099,Anora Kala,Anora Kala - Main Road,Residential Plot,3404,Medium,High,7.0,Growth,Medium,Residential Growth,
LKO-PROP-10100,Gomti Nagar,Gomti Nagar - Phase 1,Warehouse space,2498,High,Medium,9.0,Premium,Medium,Offices|Retail,Premium area high demand
LKO-PROP-10101,Alamnagar Extension,Alamnagar Extension - Extension,3BHK Apartment,3433,Medium,Medium,6.0,Developing,Medium,Affordable Housing,
LKO-PROP-10102,DLF Extension Area,DLF Extension Area - Inner Circle,Independent House,3843,Medium,High,8.0,Planned,Medium,Residential,
LKO-PROP-10103,Krishna Nagar,Krishna Nagar - Phase 4,Retail Shop,2798,Medium,Medium,7.0,Residential,Medium,Local Retail,
LKO-PROP-10104,Chinhat Extension Phase 2,Chinhat Extension Phase 2 - Sector E,3BHK Apartment,3353,High,High,7.0,Growth,Medium,Shops,
LKO-PROP-10105,Mahanagar,Mahanagar - Sector F,Residential Plot,3206,Medium,Medium,9.0,Premium,Medium,Luxury Retail,
LKO-PROP-10106,Naka Hindola,Naka Hindola - Extension,Residential Plot,3208,High,Medium,7.0,Transport Hub,Medium,Hotels|Retail,
LKO-PROP-10107,Ansal Sushant,Ansal Sushant - Sector D,1BHK Apartment,3338,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10108,Amity University Road,Amity University Road - Sector I,2BHK Apartment,3300,Medium,High,7.0,Growth,Medium,Student Business,
LKO-PROP-10109,Deva Road Extension,Deva Road Extension - Sector C,Residential Plot,3693,Medium,High,7.0,Growth,Medium,Residential Growth,
LKO-PROP-10110,Sapru Marg,Sapru Marg - Sector E,Commercial Plot,3460,Very High,Medium,10.0,Commercial Core,Medium,Corporate Offices,
LKO-PROP-10111,Kanpur Road,Kanpur Road - Sector C,Residential Plot,2922,Medium,Medium,7.0,Developing,Medium,Transport Business,Good connectivity near airport
LKO-PROP-10112,Omaxe Residency Area,Omaxe Residency Area - Sector B,3BHK Apartment,2763,Medium,Medium,8.0,Planned,Medium,Residential,
LKO-PROP-10113,Janeshwar Park Extension,Janeshwar Park Extension - Sector A,Commercial Plot,2551,High,High,9.0,Premium,Medium,Commercial,
LKO-PROP-10114,Rajajipuram,Rajajipuram - Phase 2,3BHK Apartment,3269,High,Medium,6.0,Residential,Medium,Local Shops|Housing,
LKO-PROP-10115,Sarojini Nagar,Sarojini Nagar - Sector G,Warehouse space,2590,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10116,Aliganj,Aliganj - Sector F,Independent House,3206,High,Medium,7.0,Developed,Medium,Coaching|Retail,
LKO-PROP-10117,Amausi Industrial Area,Amausi Industrial Area - Phase 5,Residential Plot,3267,Medium,High,8.0,Industrial Growth,Medium,Logistics|Warehouse,
LKO-PROP-10118,Gomti Nagar Phase 4,Gomti Nagar Phase 4 - Main Road,1BHK Apartment,2528,High,High,9.0,Premium Growth,Medium,Investment,
LKO-PROP-10119,Kukrail Picnic Spot Area,Kukrail Picnic Spot Area - Sector B,Retail Shop,3049,Medium,High,7.0,Growth,Medium,Tourism Business,
LKO-PROP-10120,Kukrail,Kukrail - Sector E,Commercial Plot,2574,Medium,High,7.0,Growth,Medium,Residential Expansion,
LKO-PROP-10121,Patrakarpuram Extension,Patrakarpuram Extension - Sector J,Warehouse space,3184,High,Medium,9.0,Commercial,Medium,Retail,
LKO-PROP-10122,Mohanlalganj,Mohanlalganj - Sector E,Retail Shop,2028,Low,High,5.0,Outer Growth,High,Long-term Investment,Outer area large plots
LKO-PROP-10123,Khadra,Khadra - Main Road,Retail Shop,2637,High,Medium,6.0,Residential,Medium,Local Shops,
LKO-PROP-10124,Dubagga,Dubagga - Main Road,1BHK Apartment,3112,Medium,Medium,5.0,Developing,Medium,Small Business,
LKO-PROP-10125,Gomti Nagar Phase 3,Gomti Nagar Phase 3 - Sector F,Independent House,2419,High,Medium,9.0,Premium,Medium,Offices,
LKO-PROP-10126,Dilkusha,Dilkusha - Sector E,Retail Shop,3454,Medium,Low,9.0,Premium,Medium,Residential,
LKO-PROP-10127,Gomti Nagar Phase 2,Gomti Nagar Phase 2 - Extension,Warehouse space,3410,High,Medium,9.0,Premium,Medium,Residential,
LKO-PROP-10128,DLF Garden City,DLF Garden City - Sector G,3BHK Apartment,3005,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10129,Tedhi Pulia Area,Tedhi Pulia Area - Sector I,1BHK Apartment,2992,High,Medium,7.0,Developed,Medium,Shops|Retail,
LKO-PROP-10130,Kukrail,Kukrail - Sector A,Residential Plot,3809,Medium,High,7.0,Growth,Medium,Residential Expansion,
LKO-PROP-10131,Park Road,Park Road - Sector G,Retail Shop,3346,High,Medium,9.0,Commercial,Medium,Retail|Offices,
LKO-PROP-10132,Matiyari Extension,Matiyari Extension - Phase 5,Warehouse space,3302,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10133,Vikas Nagar Extension,Vikas Nagar Extension - Sector J,2BHK Apartment,3257,Medium,Medium,7.0,Developed,Medium,Residential,
LKO-PROP-10134,Riverfront Extension Area,Riverfront Extension Area - Inner Circle,Commercial Plot,3163,High,High,10.0,Premium,Medium,Tourism|Retail,
LKO-PROP-10135,Nawabganj,Nawabganj - Sector B,Retail Shop,3790,Medium,Medium,6.0,Residential,Medium,Local Shops,
LKO-PROP-10136,Alamnagar Extension,Alamnagar Extension - Inner Circle,2BHK Apartment,2450,Medium,Medium,6.0,Developing,Medium,Affordable Housing,
LKO-PROP-10137,Gomti Nagar Phase 2,Gomti Nagar Phase 2 - Sector I,2BHK Apartment,2619,High,Medium,9.0,Premium,Medium,Residential,
LKO-PROP-10138,Ashiyana,Ashiyana - Sector I,2BHK Apartment,3016,Medium,Medium,7.0,Residential,Medium,Residential Business,
LKO-PROP-10139,Gaurabagh,Gaurabagh - Phase 3,Retail Shop,2486,Low,Medium,5.0,Outer Growth,Medium,Low-cost Setup,
LKO-PROP-10140,Indira Nagar,Indira Nagar - Main Road,Warehouse space,4150,High,Medium,8.0,Premium,Low-Medium,Shops|Clinics,Established residential zone
LKO-PROP-10141,Kanpur Road,Kanpur Road - Phase 4,Warehouse space,2593,Medium,Medium,7.0,Developing,Medium,Transport Business,Good connectivity near airport
LKO-PROP-10142,Bakshi Ka Talab,Bakshi Ka Talab - Phase 2,Residential Plot,3319,Medium,High,6.0,Growth,Medium,Warehousing,
LKO-PROP-10143,Tedhi Pulia Area,Tedhi Pulia Area - Sector G,Warehouse space,2649,High,Medium,7.0,Developed,Medium,Shops|Retail,
LKO-PROP-10144,Safedabad Extension,Safedabad Extension - Sector I,3BHK Apartment,3730,Medium,High,7.0,Growth,Medium,Expansion,
LKO-PROP-10145,Gomti Nagar Phase 4,Gomti Nagar Phase 4 - Extension,Residential Plot,3730,High,High,9.0,Premium Growth,Medium,Investment,
LKO-PROP-10146,Park Road,Park Road - Extension,Independent House,2787,High,Medium,9.0,Commercial,Medium,Retail|Offices,
LKO-PROP-10147,Dilkusha Garden Area,Dilkusha Garden Area - Sector D,Independent House,2551,Medium,Low,9.0,Premium,Medium,Housing,
LKO-PROP-10148,Bijnor Extension,Bijnor Extension - Sector G,2BHK Apartment,2795,Medium,High,7.0,Industrial Growth,Medium,Logistics,
LKO-PROP-10149,Rajajipuram,Rajajipuram - Extension,Residential Plot,3886,High,Medium,6.0,Residential,Medium,Local Shops|Housing,
LKO-PROP-10150,Kathauta Lake Area,Kathauta Lake Area - Phase 1,Residential Plot,3253,High,Medium,9.0,Premium,Medium,Cafes|Restaurants,
LKO-PROP-10151,Para Road,Para Road - Sector I,Retail Shop,3509,Medium,Medium,5.0,Developing,Medium,Low-cost Setup,
LKO-PROP-10152,Charbagh,Charbagh - Extension,Warehouse space,3722,Very High,Medium,9.0,Commercial Core,Medium,Hotels|Food,
LKO-PROP-10153,Nishatganj,Nishatganj - Phase 2,Independent House,2826,Medium,Medium,7.0,Developed,Medium,Retail,
LKO-PROP-10154,Dubagga,Dubagga - Sector G,2BHK Apartment,2475,Medium,Medium,5.0,Developing,Medium,Small Business,
LKO-PROP-10155,Naka Hindola,Naka Hindola - Phase 4,2BHK Apartment,3368,High,Medium,7.0,Transport Hub,Medium,Hotels|Retail,
LKO-PROP-10156,Raebareli Bypass,Raebareli Bypass - Sector A,Independent House,3057,Low,High,6.0,Outer Growth,Medium,Industrial,
LKO-PROP-10157,MG Road Area,MG Road Area - Phase 3,3BHK Apartment,3027,Very High,Medium,10.0,Commercial Core,Medium,Retail,
LKO-PROP-10158,Balaganj,Balaganj - Phase 4,2BHK Apartment,2813,Medium,Medium,5.0,Old City,Medium,Traditional Business,
LKO-PROP-10159,Airport Road,Airport Road - Sector D,3BHK Apartment,2419,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10160,Kanpur Road Extension,Kanpur Road Extension - Sector E,1BHK Apartment,2428,Medium,Medium,7.0,Developing,Medium,Transport,
LKO-PROP-10161,Deva Road Extension,Deva Road Extension - Extension,2BHK Apartment,3536,Medium,High,7.0,Growth,Medium,Residential Growth,
LKO-PROP-10162,Riverfront Extension Area,Riverfront Extension Area - Sector J,Warehouse space,3856,High,High,10.0,Premium,Medium,Tourism|Retail,
LKO-PROP-10163,Transport Nagar,Transport Nagar - Sector A,Retail Shop,3189,Medium,High,7.0,Industrial,Medium,Logistics|Transport,
LKO-PROP-10164,DLF Extension Area,DLF Extension Area - Sector J,Warehouse space,3851,Medium,High,8.0,Planned,Medium,Residential,
LKO-PROP-10165,Eldeco Greens,Eldeco Greens - Sector E,2BHK Apartment,2950,Medium,Medium,8.0,Planned,Medium,Residential Business,
LKO-PROP-10166,Shaheed Path,Shaheed Path - Extension,Independent House,6095,High,High,10.0,Premium Growth,High,Corporate Offices,Premium fast developing corridor
LKO-PROP-10167,Gomti Nagar,Gomti Nagar - Sector F,Retail Shop,2421,High,Medium,9.0,Premium,Medium,Offices|Retail,Premium area high demand
LKO-PROP-10168,Raebareli Road Extension,Raebareli Road Extension - Sector B,Warehouse space,3689,Medium,Medium,6.0,Developing,Medium,Warehousing,
LKO-PROP-10169,Thakurganj,Thakurganj - Sector J,Warehouse space,3448,Medium,Medium,6.0,Old City,Medium,Local Shops,
LKO-PROP-10170,Matiyari,Matiyari - Sector G,1BHK Apartment,3812,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10171,Gomti Riverfront Area,Gomti Riverfront Area - Sector E,Retail Shop,2585,High,High,10.0,Premium,Medium,Tourism|Luxury Business,
LKO-PROP-10172,Dilkusha,Dilkusha - Sector C,Retail Shop,2840,Medium,Low,9.0,Premium,Medium,Residential,
LKO-PROP-10173,Outer Ring Road,Outer Ring Road - Sector D,Retail Shop,3545,Low,High,7.0,Outer Growth,Medium,Warehousing,
LKO-PROP-10174,Vibhuti Khand Extension,Vibhuti Khand Extension - Phase 1,3BHK Apartment,3313,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10175,Kaiserbagh,Kaiserbagh - Sector E,Residential Plot,2585,High,Medium,8.0,Commercial Core,Medium,Legal|Offices,
LKO-PROP-10176,Riverfront Extension,Riverfront Extension - Sector E,3BHK Apartment,3816,Medium,Medium,6.0,Residential,Medium,Mixed Use,
LKO-PROP-10177,Indiranagar Sector 14,Indiranagar Sector 14 - Sector A,Residential Plot,2411,High,Medium,8.0,Premium,Medium,Clinics|Shops,
LKO-PROP-10178,Matiyari Extension,Matiyari Extension - Main Road,Independent House,3787,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10179,Outer Ring Road,Outer Ring Road - Sector D,Residential Plot,3042,Low,High,7.0,Outer Growth,Medium,Warehousing,
LKO-PROP-10180,Eldeco Greens,Eldeco Greens - Extension,Commercial Plot,3475,Medium,Medium,8.0,Planned,Medium,Residential Business,
LKO-PROP-10181,Deva Road,Deva Road - Sector J,Independent House,3457,Medium,High,7.0,Growth,Medium,Investment,
LKO-PROP-10182,Kukrail,Kukrail - Phase 4,Retail Shop,3594,Medium,High,7.0,Growth,Medium,Residential Expansion,
LKO-PROP-10183,Malhaur,Malhaur - Extension,Residential Plot,3725,Medium,High,7.0,Growth,High,Residential|Retail,Near Gomti Nagar extension
LKO-PROP-10184,DLF Extension Area,DLF Extension Area - Sector F,Retail Shop,2694,Medium,High,8.0,Planned,Medium,Residential,
LKO-PROP-10185,Kanpur Road Extension,Kanpur Road Extension - Main Road,Commercial Plot,2967,Medium,Medium,7.0,Developing,Medium,Transport,
LKO-PROP-10186,Eldeco Greens,Eldeco Greens - Sector I,Commercial Plot,2924,Medium,Medium,8.0,Planned,Medium,Residential Business,
LKO-PROP-10187,Paper Mill Colony,Paper Mill Colony - Sector D,Retail Shop,2600,Medium,Medium,7.0,Residential,Medium,Housing,
LKO-PROP-10188,Rahim Nagar,Rahim Nagar - Phase 5,1BHK Apartment,3066,High,Medium,7.0,Developed,Medium,Shops|Retail,
LKO-PROP-10189,Outer Ring Road,Outer Ring Road - Sector H,2BHK Apartment,3852,Low,High,7.0,Outer Growth,Medium,Warehousing,
LKO-PROP-10190,Tedhi Pulia Area,Tedhi Pulia Area - Phase 3,Retail Shop,3777,High,Medium,7.0,Developed,Medium,Shops|Retail,
