region,avg_rent_2bhk,avg_rent_3bhk,price_band,growth_5yr_percent,demand_level,infrastructure_score,zone_type,roi_category,best_for
Amausi Extension,18000,27000,Medium,50,Medium,7,Growth,High,Industrial Housing
Sarojini Nagar Phase 2,17000,26000,Medium,60,Medium,7,Growth,High,Residential
Sarojini Nagar Phase 3,16000,25000,Medium,62,Medium,7,Growth,High,Housing
Transport Nagar Extension,19000,28000,Medium,40,Medium,8,Industrial,Medium,Logistics Housing
Kanpur Road Extension,15000,22000,Medium,45,Medium,7,Developing,Medium,Transport Living
Raebareli Road Extension,14000,20000,Low-Medium,40,Medium,6,Developing,Medium,Warehouse Living
Bijnor Extension,18000,27000,Medium,55,Medium,7,Industrial Growth,High,Logistics Housing
Malhaur Extension,22000,32000,Medium,65,Medium,7,Growth,High,Residential
Chinhat Extension Phase 2,21000,31000,Medium,70,High,7,Growth,High,Shops|Living
Chinhat Extension Phase 3,20000,30000,Medium,72,High,7,Growth,High,Investment Living
Deva Road Extension,18000,27000,Medium,62,Medium,7,Growth,High,Residential Growth
Matiyari Extension,17000,26000,Medium,60,Medium,7,Growth,High,Housing
Anora Extension,18000,28000,Medium,65,Medium,7,Growth,High,Residential
Safedabad Extension,20000,30000,Medium,70,Medium,7,Growth,High,Expansion Living
Tiwariganj Extension,19000,29000,Medium,68,Medium,7,Growth,High,Investment Living
Uattardhona Extension,18000,27000,Medium,64,Medium,7,Growth,High,Residential
Gomti Riverfront Area,38000,65000,Very High,55,High,10,Premium,High,Luxury Living
Riverfront Extension,36000,62000,Very High,58,High,10,Premium,High,Tourism Living
Butler Colony,40000,70000,Very High,30,Medium,9,Premium,Low,Luxury Residential
Cantt Area,35000,60000,High,35,High,9,Premium,Medium,Residential
Cantonment Extension,33000,58000,High,38,High,9,Premium,Medium,Housing
Dilkusha,36000,62000,Very High,32,Medium,9,Premium,Low,Residential
La Martiniere Area,38000,65000,Very High,40,High,9,Premium,Medium,Institutions Living
Sapru Marg,42000,75000,Very High,50,Very High,10,Commercial Core,Medium,Corporate Living
MG Road,40000,72000,Very High,48,Very High,10,Commercial Core,Medium,Retail Living
Park Road,38000,68000,Very High,45,High,9,Commercial,Medium,Offices|Living
